question,usuario,misconceptions_detectados,total_misconceptions,categorias_afetadas
1023,3397,G4,1,1
1023,3508,G4,1,1
1024,1090,,0,0
1024,1101,,0,0
1024,1108,,0,0
1024,1153,,0,0
1024,1162,,0,0
1024,1166,,0,0
1024,1178,,0,0
1024,1184,,0,0
1024,1186,,0,0
1024,1197,,0,0
1024,1206,,0,0
1024,1210,,0,0
1024,1225,,0,0
1024,1226,,0,0
1024,1258,,0,0
1024,1270,,0,0
1024,1280,G4,1,1
1024,1314,,0,0
1024,1443,A3,1,1
1024,1450,,0,0
1024,1565,,0,0
1024,1600,,0,0
1024,1637,,0,0
1024,1647,A3,1,1
1024,1656,,0,0
1024,1660,,0,0
1024,1694,G4,1,1
1024,3063,G4,1,1
1024,3114,,0,0
1024,3116,,0,0
1024,3143,,0,0
1024,3318,,0,0
1024,3401,,0,0
1024,3421,,0,0
1024,3435,,0,0
1024,3538,G4,1,1
1025,1094,G4,1,1
1025,1095,G4,1,1
1025,1097,,0,0
1025,1104,,0,0
1025,1161,,0,0
1025,1167,,0,0
1025,1220,,0,0
1025,1233,,0,0
1025,1239,A3,1,1
1025,1263,,0,0
1025,1276,,0,0
1025,1312,A3,1,1
1025,1465,,0,0
1025,1550,,0,0
1025,1640,,0,0
1025,1649,,0,0
1025,1653,,0,0
1025,1674,,0,0
1025,1705,,0,0
1025,3049,,0,0
1025,3050,G4,1,1
1025,3051,G4,1,1
1025,3053,,0,0
1025,3058,,0,0
1025,3080,,0,0
1025,3087,G4,1,1
1025,3090,,0,0
1025,3095,G4,1,1
1025,3120,,0,0
1025,3122,,0,0
1025,3133,,0,0
1025,3142,G4,1,1
1025,3477,,0,0
1025,3488,,0,0
1026,1158,,0,0
1026,1163,,0,0
1026,1213,,0,0
1026,1248,,0,0
1026,1252,,0,0
1026,1254,G4,1,1
1026,1261,G4,1,1
1026,1308,G4,1,1
1026,1575,,0,0
1026,1608,,0,0
1026,1638,,0,0
1026,1682,,0,0
1026,1691,,0,0
1026,1698,,0,0
1026,1702,,0,0
1026,3045,A3,1,1
1026,3046,G4,1,1
1026,3059,G4,1,1
1026,3060,G4,1,1
1026,3064,,0,0
1026,3068,,0,0
1026,3075,G4,1,1
1026,3079,,0,0
1026,3308,G4,1,1
1026,3313,,0,0
1026,3399,G4,1,1
1026,3495,,0,0
1027,1094,"A3,A4,G4",3,2
1027,1203,G4,1,1
1027,1252,,0,0
1027,1267,,0,0
1027,1273,,0,0
1027,1287,,0,0
1027,1432,,0,0
1027,1462,,0,0
1027,1517,,0,0
1027,1608,,0,0
1027,1640,,0,0
1027,1650,A3,1,1
1027,1666,"A3,G4",2,2
1027,1692,,0,0
1027,1705,,0,0
1027,2993,G4,1,1
1027,3046,G4,1,1
1027,3050,,0,0
1027,3066,,0,0
1027,3070,,0,0
1027,3088,G4,1,1
1027,3092,G4,1,1
1027,3097,,0,0
1027,3120,,0,0
1027,3146,G4,1,1
1027,3166,,0,0
1027,3179,,0,0
1027,3191,,0,0
1027,3211,,0,0
1027,3219,G4,1,1
1027,3322,,0,0
1027,3367,G4,1,1
1027,3376,,0,0
1027,3378,G4,1,1
1027,3391,,0,0
1027,3392,,0,0
1027,3417,,0,0
1027,3495,,0,0
1027,3499,G4,1,1
1027,3581,,0,0
1027,3607,,0,0
1027,4518,,0,0
1027,4641,,0,0
1027,4653,,0,0
1027,4661,,0,0
1027,4667,,0,0
1027,4698,,0,0
1027,4699,,0,0
1027,4705,,0,0
1027,4715,,0,0
1027,4758,,0,0
1027,4761,G4,1,1
1027,4762,G4,1,1
1027,4763,G4,1,1
1027,4769,G4,1,1
1027,4826,,0,0
1027,4830,G4,1,1
1027,4839,G4,1,1
1027,4864,A3,1,1
1027,4867,,0,0
1027,5014,G4,1,1
1027,5655,,0,0
1027,7098,G4,1,1
1027,7106,G4,1,1
1027,7118,G4,1,1
1027,7119,,0,0
1027,7122,G4,1,1
1027,7131,,0,0
1027,7141,,0,0
1027,7146,G4,1,1
1027,7163,,0,0
1027,7171,G4,1,1
1027,7177,G4,1,1
1027,7178,G4,1,1
1027,7194,,0,0
1027,7196,G4,1,1
1027,7203,,0,0
1027,7212,G4,1,1
1027,7564,,0,0
1027,7591,,0,0
1027,7628,,0,0
1027,7635,G4,1,1
1027,7639,,0,0
1027,7666,G4,1,1
1027,7668,G4,1,1
1027,7673,,0,0
1028,1112,,0,0
1028,1114,A5,1,1
1028,1118,,0,0
1028,1214,,0,0
1028,1217,G4,1,1
1028,1218,,0,0
1028,1224,,0,0
1028,1284,,0,0
1028,1293,,0,0
1028,1314,,0,0
1028,1449,A3,1,1
1028,1550,,0,0
1028,1567,,0,0
1028,1637,G4,1,1
1028,2514,,0,0
1028,3030,,0,0
1028,3045,A3,1,1
1028,3057,,0,0
1028,3061,,0,0
1028,3062,,0,0
1028,3081,G4,1,1
1028,3124,G4,1,1
1028,3136,,0,0
1028,3157,G4,1,1
1028,3170,,0,0
1028,3176,G4,1,1
1028,3192,G4,1,1
1028,3200,,0,0
1028,3203,,0,0
1028,3267,G4,1,1
1028,3309,,0,0
1028,3310,,0,0
1028,3373,,0,0
1028,3375,,0,0
1028,3384,,0,0
1028,3390,,0,0
1028,3439,A3,1,1
1028,3488,,0,0
1028,3489,,0,0
1028,3511,G4,1,1
1028,3555,,0,0
1028,4622,"A3,G4",2,2
1028,4624,,0,0
1028,4650,,0,0
1028,4665,,0,0
1028,4670,G4,1,1
1028,4676,,0,0
1028,4688,,0,0
1028,4696,G4,1,1
1028,4725,,0,0
1028,4730,,0,0
1028,4741,G4,1,1
1028,4742,,0,0
1028,4766,G4,1,1
1028,4771,G4,1,1
1028,4774,,0,0
1028,4777,G4,1,1
1028,4840,G4,1,1
1028,4842,G4,1,1
1028,4887,,0,0
1028,5668,G4,1,1
1028,5998,G4,1,1
1028,6011,,0,0
1028,6012,,0,0
1028,7104,,0,0
1028,7108,G4,1,1
1028,7123,G4,1,1
1028,7134,,0,0
1028,7155,,0,0
1028,7158,G4,1,1
1028,7174,G4,1,1
1028,7179,G4,1,1
1028,7505,,0,0
1028,7506,,0,0
1028,7566,G4,1,1
1028,7567,,0,0
1028,7570,G4,1,1
1028,7576,,0,0
1028,7577,,0,0
1028,7586,,0,0
1028,7623,,0,0
1028,7651,,0,0
1028,7653,,0,0
1028,7657,,0,0
1028,7702,G4,1,1
1029,1105,,0,0
1029,1157,,0,0
1029,1172,,0,0
1029,1231,,0,0
1029,1232,,0,0
1029,1244,,0,0
1029,1264,,0,0
1029,1275,A3,1,1
1029,1276,,0,0
1029,1551,,0,0
1029,1644,,0,0
1029,1652,,0,0
1029,1660,,0,0
1029,1674,,0,0
1029,1698,,0,0
1029,3048,G4,1,1
1029,3063,G4,1,1
1029,3072,,0,0
1029,3080,,0,0
1029,3083,,0,0
1029,3116,,0,0
1029,3143,,0,0
1029,3159,,0,0
1029,3198,,0,0
1029,3306,,0,0
1029,3311,,0,0
1029,3320,,0,0
1029,3379,,0,0
1029,3435,,0,0
1029,3486,G4,1,1
1029,3497,,0,0
1029,3595,,0,0
1029,4626,G4,1,1
1029,4632,,0,0
1029,4640,G4,1,1
1029,4647,,0,0
1029,4656,A3,1,1
1029,4671,,0,0
1029,4675,,0,0
1029,4682,,0,0
1029,4687,G4,1,1
1029,4694,A3,1,1
1029,4695,,0,0
1029,4700,,0,0
1029,4710,G4,1,1
1029,4711,G4,1,1
1029,4720,G4,1,1
1029,4723,G4,1,1
1029,4744,"A3,G4",2,2
1029,4749,G4,1,1
1029,4756,G4,1,1
1029,4760,,0,0
1029,4768,,0,0
1029,4827,G4,1,1
1029,4844,G4,1,1
1029,4846,G4,1,1
1029,4857,G4,1,1
1029,4863,,0,0
1029,6026,G4,1,1
1029,6071,,0,0
1029,7101,G4,1,1
1029,7111,,0,0
1029,7138,,0,0
1029,7139,G4,1,1
1029,7148,"A3,G4",2,2
1029,7160,,0,0
1029,7164,,0,0
1029,7166,,0,0
1029,7168,,0,0
1029,7558,,0,0
1029,7561,G4,1,1
1029,7569,"A3,G4",2,2
1029,7574,G4,1,1
1029,7582,"A3,G4",2,2
1029,7595,,0,0
1029,7599,,0,0
1029,7600,G4,1,1
1029,7601,G4,1,1
1029,7608,,0,0
1029,7615,G4,1,1
1029,7618,,0,0
1029,7621,,0,0
1029,7624,,0,0
1029,7685,G4,1,1
1029,7690,,0,0
1030,1111,,0,0
1030,1116,,0,0
1030,1168,,0,0
1030,1184,,0,0
1030,1192,,0,0
1030,1270,A3,1,1
1030,1280,,0,0
1030,1286,,0,0
1030,1308,,0,0
1030,1450,,0,0
1030,3044,G4,1,1
1030,3060,G4,1,1
1030,3100,,0,0
1030,3103,G4,1,1
1030,3117,,0,0
1030,3148,G4,1,1
1030,3164,G4,1,1
1030,3169,A3,1,1
1030,3202,,0,0
1030,3216,,0,0
1030,3308,G4,1,1
1030,3397,G4,1,1
1030,3400,G4,1,1
1030,3443,,0,0
1030,3477,,0,0
1030,3508,,0,0
1030,4512,G4,1,1
1030,4631,,0,0
1030,4633,,0,0
1030,4638,G4,1,1
1030,4645,G4,1,1
1030,4651,,0,0
1030,4652,G4,1,1
1030,4655,,0,0
1030,4672,,0,0
1030,4678,,0,0
1030,4692,G4,1,1
1030,4701,,0,0
1030,4713,,0,0
1030,4717,G4,1,1
1030,4738,,0,0
1030,4750,"A4,G4",2,2
1030,4751,G4,1,1
1030,4759,G4,1,1
1030,4778,G4,1,1
1030,4841,G4,1,1
1030,5090,,0,0
1030,5536,,0,0
1030,5664,,0,0
1030,5826,,0,0
1030,6024,,0,0
1030,6059,,0,0
1030,7090,,0,0
1030,7102,G4,1,1
1030,7114,,0,0
1030,7116,G4,1,1
1030,7121,G4,1,1
1030,7127,G4,1,1
1030,7143,G4,1,1
1030,7154,G4,1,1
1030,7167,,0,0
1030,7181,G4,1,1
1030,7195,G4,1,1
1030,7573,G4,1,1
1030,7575,,0,0
1030,7594,,0,0
1030,7603,,0,0
1030,7604,,0,0
1030,7620,"A3,G4",2,2
1030,7648,G4,1,1
1031,1091,,0,0
1031,1113,,0,0
1031,1193,,0,0
1031,1200,,0,0
1031,1215,,0,0
1031,1235,,0,0
1031,1246,,0,0
1031,1278,G4,1,1
1031,1285,,0,0
1031,1295,,0,0
1031,1304,,0,0
1031,1401,A3,1,1
1031,3053,G4,1,1
1031,3075,G4,1,1
1031,3113,,0,0
1031,3144,,0,0
1031,3149,,0,0
1031,3162,A3,1,1
1031,3209,,0,0
1031,3380,,0,0
1031,3394,,0,0
1031,3419,,0,0
1031,4643,G4,1,1
1031,4659,,0,0
1031,4677,,0,0
1031,4689,G4,1,1
1031,4706,,0,0
1031,4772,G4,1,1
1031,4773,G4,1,1
1031,4825,G4,1,1
1031,4832,"A3,G4",2,2
1031,4833,G4,1,1
1031,4835,G4,1,1
1031,4836,,0,0
1031,5008,G4,1,1
1031,5687,,0,0
1031,6074,G4,1,1
1031,6119,G4,1,1
1031,6165,G4,1,1
1031,7097,G4,1,1
1031,7109,G4,1,1
1031,7126,G4,1,1
1031,7144,,0,0
1031,7176,G4,1,1
1031,7188,G4,1,1
1031,7205,G4,1,1
1031,7229,G4,1,1
1031,7239,,0,0
1031,7568,G4,1,1
1031,7579,,0,0
1031,7605,,0,0
1031,7606,G4,1,1
1031,7610,,0,0
1031,7611,,0,0
1031,7636,G4,1,1
1031,7644,G4,1,1
1031,7647,A3,1,1
1031,7659,,0,0
1031,7660,,0,0
1031,7663,,0,0
1031,7671,,0,0
1031,7689,G4,1,1
1031,7697,G4,1,1
1032,1162,,0,0
1032,1190,,0,0
1032,1226,,0,0
1032,1296,,0,0
1032,1461,,0,0
1032,1463,,0,0
1032,1655,A3,1,1
1032,1668,,0,0
1032,1699,,0,0
1032,3011,G4,1,1
1032,3058,,0,0
1032,3065,,0,0
1032,3085,,0,0
1032,3090,,0,0
1032,3156,,0,0
1032,3165,,0,0
1032,3188,G4,1,1
1032,3190,,0,0
1032,3212,G4,1,1
1032,3213,,0,0
1032,3313,,0,0
1032,3324,,0,0
1032,3330,,0,0
1032,3371,,0,0
1032,3374,G4,1,1
1032,3421,,0,0
1032,3451,G4,1,1
1032,3456,G4,1,1
1032,3485,,0,0
1032,4628,,0,0
1032,4629,,0,0
1032,4639,,0,0
1032,4642,G4,1,1
1032,4649,G4,1,1
1032,4654,,0,0
1032,4673,,0,0
1032,4679,,0,0
1032,4697,,0,0
1032,4714,,0,0
1032,4732,,0,0
1032,4733,G4,1,1
1032,4818,,0,0
1032,4829,G4,1,1
1032,4845,,0,0
1032,4849,,0,0
1032,4856,G4,1,1
1032,4875,G4,1,1
1032,5029,,0,0
1032,6157,G4,1,1
1032,6769,G4,1,1
1032,7103,G4,1,1
1032,7107,G4,1,1
1032,7125,G4,1,1
1032,7142,,0,0
1032,7161,,0,0
1032,7175,G4,1,1
1032,7186,G4,1,1
1032,7187,,0,0
1032,7190,G4,1,1
1032,7193,G4,1,1
1032,7204,,0,0
1032,7510,,0,0
1032,7578,G4,1,1
1032,7580,,0,0
1032,7590,G4,1,1
1032,7592,,0,0
1032,7598,,0,0
1032,7612,,0,0
1032,7625,G4,1,1
1032,7626,,0,0
1032,7655,,0,0
1032,7658,"A3,G4",2,2
1032,7665,,0,0
1032,7726,G4,1,1
1033,1090,G4,1,1
1033,1096,,0,0
1033,1102,,0,0
1033,1104,,0,0
1033,1117,,0,0
1033,1155,,0,0
1033,1182,,0,0
1033,1206,,0,0
1033,1210,,0,0
1033,1213,,0,0
1033,1259,,0,0
1033,1310,,0,0
1033,1566,,0,0
1033,1639,,0,0
1033,3059,G4,1,1
1033,3086,,0,0
1033,3171,,0,0
1033,3177,"A3,G4",2,2
1033,3182,,0,0
1033,3195,,0,0
1033,3204,,0,0
1033,3307,,0,0
1033,3317,,0,0
1033,3318,,0,0
1033,3328,,0,0
1033,3383,A3,1,1
1033,3387,,0,0
1033,3399,G4,1,1
1033,3434,G4,1,1
1033,3440,"A3,G4",2,2
1033,3476,,0,0
1033,3543,,0,0
1034,1151,,0,0
1034,1160,,0,0
1034,1180,A3,1,1
1034,1181,,0,0
1034,1186,,0,0
1034,1191,,0,0
1034,1197,,0,0
1034,1261,,0,0
1034,1281,,0,0
1034,1431,,0,0
1034,1451,,0,0
1034,1554,G4,1,1
1034,1600,,0,0
1034,1646,,0,0
1034,1651,A3,1,1
1034,1657,,0,0
1034,1658,,0,0
1034,1661,,0,0
1034,1663,,0,0
1034,1684,,0,0
1034,3052,,0,0
1034,3076,,0,0
1034,3107,,0,0
1034,3119,,0,0
1034,3132,"A3,G4",2,2
1034,3140,G4,1,1
1034,3161,,0,0
1034,3173,,0,0
1034,3196,,0,0
1034,3199,,0,0
1034,3210,,0,0
1034,3259,,0,0
1034,3260,G4,1,1
1034,3263,,0,0
1034,3305,,0,0
1034,3321,,0,0
1034,3480,,0,0
1034,3483,,0,0
1034,3498,G4,1,1
1034,3538,G4,1,1
1035,1095,G4,1,1
1035,1103,,0,0
1035,1150,G4,1,1
1035,1153,,0,0
1035,1219,G4,1,1
1035,1238,,0,0
1035,1298,,0,0
1035,1307,,0,0
1035,1393,,0,0
1035,1557,,0,0
1035,1558,,0,0
1035,1612,,0,0
1035,1691,,0,0
1035,3051,G4,1,1
1035,3054,,0,0
1035,3068,,0,0
1035,3079,,0,0
1035,3089,"A3,G4",2,2
1035,3102,,0,0
1035,3104,,0,0
1035,3106,A3,1,1
1035,3122,,0,0
1035,3138,G4,1,1
1035,3197,G4,1,1
1035,3325,,0,0
1035,3381,,0,0
1035,3388,,0,0
1035,3389,,0,0
1035,3442,,0,0
1036,1097,,0,0
1036,1158,,0,0
1036,1165,A3,1,1
1036,1174,,0,0
1036,1187,,0,0
1036,1201,,0,0
1036,1253,,0,0
1036,1271,,0,0
1036,1305,,0,0
1036,1603,,0,0
1036,1643,,0,0
1036,1649,,0,0
1036,3091,G4,1,1
1036,3093,,0,0
1036,3131,,0,0
1036,3142,,0,0
1036,3145,,0,0
1036,3180,,0,0
1036,3215,G4,1,1
1036,3217,,0,0
1036,3221,G4,1,1
1036,3304,G4,1,1
1036,3331,G4,1,1
1036,3370,,0,0
1036,3401,,0,0
1036,3441,G4,1,1
1036,3509,A3,1,1
1036,3512,"A3,G4",2,2
1037,1110,,0,0
1037,1140,"A3,A5",2,1
1037,1166,,0,0
1037,1167,,0,0
1037,1176,,0,0
1037,1178,A3,1,1
1037,1196,,0,0
1037,1220,,0,0
1037,1234,,0,0
1037,1279,,0,0
1037,1299,,0,0
1037,1306,,0,0
1037,1403,,0,0
1037,1443,A3,1,1
1037,1563,,0,0
1037,1575,,0,0
1037,1592,,0,0
1037,1610,,0,0
1037,1636,,0,0
1037,1694,,0,0
1037,3069,,0,0
1037,3087,,0,0
1037,3115,,0,0
1037,3139,,0,0
1037,3151,G4,1,1
1037,3155,,0,0
1037,3181,,0,0
1037,3184,G4,1,1
1037,3193,G4,1,1
1037,3205,,0,0
1037,3264,G4,1,1
1037,3323,A3,1,1
1037,3418,G4,1,1
1037,3544,,0,0
1038,1101,,0,0
1038,1108,,0,0
1038,1109,,0,0
1038,1179,,0,0
1038,1221,,0,0
1038,1225,,0,0
1038,1233,G4,1,1
1038,1263,,0,0
1038,1289,G4,1,1
1038,1292,G4,1,1
1038,1309,G4,1,1
1038,1433,A3,1,1
1038,1460,,0,0
1038,1464,,0,0
1038,1653,,0,0
1038,1654,,0,0
1038,1659,,0,0
1038,1669,,0,0
1038,1676,,0,0
1038,1704,,0,0
1038,3064,,0,0
1038,3071,,0,0
1038,3084,,0,0
1038,3095,G4,1,1
1038,3098,,0,0
1038,3105,,0,0
1038,3112,,0,0
1038,3137,,0,0
1038,3167,,0,0
1038,3194,G4,1,1
1038,3255,G4,1,1
1038,3315,,0,0
1038,3327,,0,0
1038,3368,,0,0
1038,3372,G4,1,1
1038,3386,G4,1,1
1080,1157,G4,1,1
1080,1161,G4,1,1
1080,1162,G4,1,1
1080,1184,G4,1,1
1080,1217,G4,1,1
1080,1239,G4,1,1
1080,1251,,0,0
1080,1253,G4,1,1
1080,1267,G4,1,1
1080,1270,,0,0
1080,1284,,0,0
1080,1292,G4,1,1
1080,1295,G4,1,1
1080,1298,G4,1,1
1080,1322,G4,1,1
1080,1324,G4,1,1
1080,1343,G4,1,1
1080,1391,G4,1,1
1080,1403,,0,0
1080,1433,,0,0
1080,1434,G4,1,1
1080,1451,,0,0
1080,1461,,0,0
1080,1462,G4,1,1
1080,1484,G4,1,1
1080,1491,,0,0
1080,1506,G4,1,1
1080,1573,,0,0
1080,1606,G4,1,1
1080,1633,,0,0
1080,1634,G4,1,1
1080,1657,G4,1,1
1080,3064,,0,0
1080,3065,G4,1,1
1080,3086,G4,1,1
1080,3093,G4,1,1
1080,3165,,0,0
1080,3169,G4,1,1
1080,3175,G4,1,1
1080,3180,,0,0
1080,3234,G4,1,1
1080,3269,G4,1,1
1080,3271,G4,1,1
1080,3371,G4,1,1
1080,3372,G4,1,1
1080,3381,,0,0
1080,3389,G4,1,1
1080,3393,G4,1,1
1080,3447,G4,1,1
1080,3532,G4,1,1
1080,3544,"B4,G4",2,2
1081,1110,,0,0
1081,1199,G4,1,1
1081,1215,,0,0
1081,1233,,0,0
1081,1243,,0,0
1081,1278,G4,1,1
1081,1309,,0,0
1081,1325,,0,0
1081,1355,G4,1,1
1081,1431,G4,1,1
1081,1464,G4,1,1
1081,1494,,0,0
1081,1519,,0,0
1081,1520,,0,0
1081,1527,,0,0
1081,1566,,0,0
1081,1649,G4,1,1
1081,1660,B8,1,1
1081,1666,,0,0
1081,3047,,0,0
1081,3058,G4,1,1
1081,3069,,0,0
1081,3091,G4,1,1
1081,3102,G4,1,1
1081,3107,,0,0
1081,3116,G4,1,1
1081,3122,,0,0
1081,3127,G4,1,1
1081,3134,G4,1,1
1081,3140,G4,1,1
1081,3159,G4,1,1
1081,3170,,0,0
1081,3171,G4,1,1
1081,3176,G4,1,1
1081,3183,G4,1,1
1081,3219,G4,1,1
1081,3230,G4,1,1
1081,3237,,0,0
1081,3239,,0,0
1081,3240,G4,1,1
1081,3243,G4,1,1
1081,3247,,0,0
1081,3266,,0,0
1081,3311,G4,1,1
1081,3321,,0,0
1081,3322,,0,0
1081,3323,,0,0
1081,3330,,0,0
1081,3368,G4,1,1
1081,3385,,0,0
1081,3440,G4,1,1
1081,3451,G4,1,1
1081,3476,G4,1,1
1081,3477,,0,0
1081,3486,G4,1,1
1081,3488,,0,0
1081,3511,G4,1,1
1081,3561,G4,1,1
1081,4622,G4,1,1
1082,1103,G4,1,1
1082,1104,,0,0
1082,1116,G4,1,1
1082,1140,G4,1,1
1082,1160,G4,1,1
1082,1163,G4,1,1
1082,1187,G4,1,1
1082,1191,,0,0
1082,1194,G4,1,1
1082,1214,G4,1,1
1082,1216,,0,0
1082,1237,G4,1,1
1082,1285,G4,1,1
1082,1293,G4,1,1
1082,1297,G4,1,1
1082,1304,G4,1,1
1082,1307,G4,1,1
1082,1323,,0,0
1082,1328,G4,1,1
1082,1335,,0,0
1082,1339,,0,0
1082,1348,G4,1,1
1082,1383,,0,0
1082,1392,G4,1,1
1082,1396,G4,1,1
1082,1465,G4,1,1
1082,1482,G4,1,1
1082,1486,G4,1,1
1082,1497,G4,1,1
1082,1506,G4,1,1
1082,1518,G4,1,1
1082,1543,G4,1,1
1082,1562,G4,1,1
1082,1582,G4,1,1
1082,1591,,0,0
1082,1616,,0,0
1082,1618,G4,1,1
1082,1639,G4,1,1
1082,1643,"A3,G4",2,2
1082,1684,,0,0
1082,3031,G4,1,1
1082,3050,G4,1,1
1082,3072,G4,1,1
1082,3090,G4,1,1
1082,3106,G4,1,1
1082,3111,G4,1,1
1082,3121,,0,0
1082,3163,G4,1,1
1082,3189,G4,1,1
1082,3194,G4,1,1
1082,3197,G4,1,1
1082,3201,,0,0
1082,3211,G4,1,1
1082,3212,G4,1,1
1082,3241,,0,0
1082,3320,G4,1,1
1082,3376,G4,1,1
1082,3435,G4,1,1
1082,3497,G4,1,1
1082,3508,G4,1,1
1083,1094,G4,1,1
1083,1097,G4,1,1
1083,1150,G4,1,1
1083,1182,,0,0
1083,1186,,0,0
1083,1213,G4,1,1
1083,1226,G4,1,1
1083,1268,,0,0
1083,1276,G4,1,1
1083,1305,,0,0
1083,1306,G4,1,1
1083,1311,,0,0
1083,1313,G4,1,1
1083,1352,G4,1,1
1083,1473,,0,0
1083,1498,G4,1,1
1083,1504,G4,1,1
1083,1540,,0,0
1083,1608,,0,0
1083,1627,,0,0
1083,1628,,0,0
1083,1637,,0,0
1083,1650,,0,0
1083,1659,,0,0
1083,1702,G4,1,1
1083,3044,G4,1,1
